propname,npropname
BELSOMRA,suvorexant
PRINIVIL,lisinopril
FOSAMAX,alendronate sodium
STROMECTOL,ivermectin
PROPECIA,finasteride
PROSCAR,FINASTERIDE
JANUMET,sitagliptin and metformin hydrochloride
JANUVIA,sitagliptin
ISENTRESS,RALTEGRAVIR
MAXALT,rizatriptan benzoate
FOSAMAX PLUS D,ALENDRONATE SODIUM and CHOLECALCIFEROL
EMEND,aprepitant
ZOCOR,SIMVASTATIN
ZOLINZA,vorinostat
CRIXIVAN,indinavir sulfate
JANUMET,SITAGLIPTIN and METFORMIN HYDROCHLORIDE
HYZAAR,losartan potassium and hydrochlorothiazide
COZAAR,losartan potassium
SINGULAIR,montelukast sodium
ZINPLAVA,bezlotoxumab
KEYTRUDA,pembrolizumab
EMEND,FOSAPREPITANT DIMEGLUMINE
ZEPATIER,elbasvir and grazoprevir
PREVYMIS,LETERMOVIR
PRIMAXIN,imipenem and cilastatin sodium
TRUSOPT,dorzolamide hydrochloride
MAXALT-MLT,rizatriptan benzoate
CANCIDAS,CASPOFUNGIN ACETATE
INVANZ,ertapenem sodium
SINEMET,carbidopa and levodopa
GARDASIL,"Human Papillomavirus Quadrivalent (Types 6, 11, 16, and 18) Vaccine, Recombinant"
RotaTeq,"Rotavirus Vaccine, Live, Oral, Pentavalent"
RECOMBIVAX HB,Hepatitis B Vaccine (Recombinant)
VAQTA,"hepatitis A vaccine, inactivated"
GARDASIL 9,"Human Papillomavirus 9-valent Vaccine, Recombinant"
ProQuad,"Measles, Mumps, Rubella and Varicella Virus Vaccine Live"
Renflexis,infliximab
STERILE DILUENT,Sterile Water
M-M-R II,"measles, mumps, and rubella virus vaccine live"
PNEUMOVAX 23,pneumococcal vaccine polyvalent
VARIVAX,Varicella Virus Vaccine Live
PedvaxHIB,Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate)
ZOSTAVAX,Zoster Vaccine Live
STEGLATRO,ertugliflozin
STEGLUJAN,ertugliflozin and sitagliptin
SEGLUROMET,ertugliflozin and metformin hydrochloride
BRIDION,sugammadex
ANTIVENIN,Latrodectus mactans
COREG,carvedilol phosphate
DYAZIDE,hydrochlorothiazide and triamterene
COREG,carvedilol
HYCAMTIN,topotecan hydrochloride
ARRANON,nelarabine
ARGATROBAN,argatroban
PROMACTA,eltrombopag olamine
REQUIP,ropinirole hydrochloride
REQUIP,ropinirole
vinorelbine tartrate,vinorelbine tartrate
Besponsa,inotuzumab ozogamicin
North American Coral Snake Antivenin (Equine),Coral Snake (Micrurus Fulvius) Immune Globulin Antivenin (Equine)
Effexor,VENLAFAXINE HYDROCHLORIDE
Protonix,PANTOPRAZOLE SODIUM
Protonix,pantoprazole sodium
Rapamune,SIROLIMUS
Duavee,conjugated estrogens/bazedoxifene
Torisel,temsirolimus
Pristiq,desvenlafaxine succinate
Trecator,ethionamide
Mylotarg,gemtuzumab ozogamicin
Tygacil,TIGECYCLINE
SOLU-MEDROL,methylprednisolone sodium succinate
Solu-Cortef,hydrocortisone sodium succinate
CORTEF,hydrocortisone
Halcion,triazolam
Medrol,methylprednisolone
Xanax,alprazolam
Provera,medroxyprogesterone acetate
Depo-Testosterone,testosterone cypionate
Cleocin Hydrochloride,clindamycin hydrochloride
Bacitracin,Bacitracin
Colestid,Colestipol Hydrochloride
Depo-Estradiol,estradiol cypionate
Depo-Medrol,methylprednisolone acetate
Cleocin Phosphate,clindamycin phosphate
Glynase,glyburide
Flavored Colestid,Colestipol Hydrochloride
R-Gene,Arginine Hydrochloride
Lincocin,lincomycin hydrochloride
Depo-Provera,medroxyprogesterone acetate
Cleocin Pediatric,clindamycin palmitate hydrochloride
Solu-Medrol,methylprednisolone sodium succinate
Prostin,dinoprostone
Hemabate,carboprost tromethamine
Camptosar,irinotecan hydrochloride
Cleocin T,clindamycin phosphate
PROSTIN,alprostadil
Prepidil,dinoprostone
Cleocin,clindamycin phosphate
Caverject,Alprostadil
Corvert,ibutilide fumarate
Detrol,tolterodine tartrate
Depo-SubQ Provera,medroxyprogesterone acetate
Zyvox,linezolid
Glyset,miglitol
Ellence,epirubicin hydrochloride
SOMAVERT,pegvisomant
Caverject Impulse,Alprostadil
Detrol LA,tolterodine tartrate
Nicotrol,nicotine
Cleocin Phosphate (0009-6582) (Standalone),clindamycin phosphate
Atgam,EQUINE THYMOCYTE IMMUNE GLOBULIN
Aromasin,exemestane
Azulfidine,Sulfasalazine
Emcyt,estramustine phosphate sodium
Cyklokapron,tranexamic acid
Estring,estradiol
Idamycin PFS,idarubicin hydrochloride
GENOTROPIN,somatropin
Mycobutin,rifabutin
Xalatan,latanoprost
Zinecard,dexrazoxane
MEGACE,MEGESTROL ACETATE
LYSODREN,MITOTANE
ETOPOPHOS,etoposide phosphate
Cysto-Conray II,Iothalamate meglumine
Conray 30,Iothalamate Meglumine
Conray,iothalamate meglumine
OPTIMARK,GADOVERSETAMIDE
OPTIMARK,gadoversetamide
SODIUM CHLORIDE,sodium chloride
Optiray,Ioversol
Conray 43,iothalamate meglumine
MD GASTROVIEW,diatrizoate meglumine and diatrizoate sodium
TAZORAC,tazarotene
PRED-G,gentamicin sulfate and prednisolone acetate
PRED-G,"gentamicin, prednisolone acetate"
REFRESH P.M.,"mineral oil, petrolatum"
REFRESH LACRI-LUBE,"mineral oil, petrolatum"
BLEPHAMIDE,sulfacetamide sodium and prednisolone acetate
FML,fluorometholone
REFRESH PLUS,carboxymethylcellulose sodium
REFRESH Classic,"Polyvinyl Alcohol, Povidone"
Asacol,mesalamine
REFRESH TEARS,carboxymethylcellulose sodium
BOTOX,onabotulinumtoxinA
Acular,Ketorolac Tromethamine
LUMIGAN,bimatoprost
REFRESH OPTIVE,carboxymethylcellulose sodium and glycerin
OZURDEX,dexamethasone
Refresh Optive,"Carboxymethylcellulose Sodium, Glycerin"
ACUVAIL,ketorolac tromethamine
ZYMAXID,gatifloxacin
LATISSE,bimatoprost
ACZONE,dapsone
BOTOX Cosmetic,onabotulinumtoxinA
LASTACAFT,alcaftadine
REFRESH OPTIVE Advanced,"carboxymethylcellulose sodium, glycerin, and polysorbate 80"
BETAGAN,levobunolol hydrochloride
REFRESH OPTIVE Advanced,"carboxymethylcellulose sodium, glycerin, polysorbate 80"
REFRESH CELLUVISC,carboxymethylcellulose sodium
VANIQA,eflornithine hydrochloride
SKIN MEDICA Purifying Foaming Wash,salicylic acid
SkinMedica TNS Ultimate Daily Moisturizer Sunscreen SPF 20,"octinoxate, zinc oxide"
SkinMedica Acne Treatment,benzoyl peroxide
"ACZONE (dapsone) Gel, 7.5%",dapsone
RHOFADE,Oxymetazoline Hydrochloride
Restasis MultiDose,cyclosporine
REFRESH OPTIVE Gel Drops,carboxymethylcellulose sodium and glycerin
TOTAL DEFENSE REPAIR BROAD SPECTRUM SPF 34 Sunscreen,"Octinoxate, Octisalate and Zinc Oxide"
TOTAL DEFENSE REPAIR BROAD SPECTRUM SPF 34 Sunscreen (Tinted),"Octinoxate, Octisalate, Titanium dioxide and Zinc Oxide"
TOTAL DEFENSE REPAIR BROAD SPECTRUM SPF 50 Sunscreen,"Homosalate, Octinoxate, Octisalate and Zinc Oxide"
Essential Defense Mineral Shield Broad Spectrum SPF 32 TINTED Sunscreen,Titanium Dioxide and Zinc Oxide
Essential Defense Mineral Shield Broad Spectrum SPF 35 Sunscreen,Titanium Dioxide and Zinc oxide
Essential Defense Everyday Clear Broad Spectrum SPF 47 Sunscreen,Zinc Oxide and Octinoxate
REFRESH OPTIVE Mega-3,"Carboxymethylcellulose sodium, Glycerin and Polysorbate 80"
GELNIQUE,oxybutynin chloride
Delzicol,mesalamine
LILETTA,Levonorgestrel
Taytulla,"norethindrone acetate and ethinyl estradiol, and ferrous fumarate"
Femring,estradiol acetate
Cordran,Flurandrenolide
Byvalson,nebivolol hydrochloride and valsartan
Alora,Estradiol Transdermal System
Asacol HD,mesalamine
Trelstar,triptorelin pamoate
Nuvessa,metronidazole
FEMCON Fe,"norethindrone and ethinyl estradiol, and ferrous fumarate"
Androderm,Testosterone
Norco,Hydrocodone Bitartrate and Acetaminophen
Fiorinal with Codeine,"Butalbital, Aspirin, Caffeine, and Codeine Phosphate"
Kadian,morphine sulfate
GENERESS Fe,norethindrone and ethinyl estradiol and ferrous fumarate
INFeD,Iron Dextran
Zenpep,"PANCRELIPASE LIPASE, PANCRELIPASE PROTEASE, PANCRELIPASE AMYLASE"
Condylox,podofilox
RAPAFLO,silodosin
Actigall,Ursodiol
Crinone,progesterone
OXYTROL,Oxybutynin
Polytrim,polymyxin b sulfate and trimethoprim sulfate
AZELEX,azelaic acid
ALOCRIL,nedocromil sodium
RESTASIS,cyclosporine
ALPHAGAN P,brimonidine tartrate
ELESTAT,epinastine hydrochloride
REFRESH LIQUIGEL,Carboxymethylcellulose sodium
COMBIGAN,"brimonidine tartrate, timolol maleate"
AVAGE,tazarotene
ACULAR LS,Ketorolac Tromethamine
Demerol,Meperidine Hydrochloride
ELOXATIN,oxaliplatin
Primaquine Phosphate,Primaquine Phosphate
Ferrlecit,sodium ferric gluconate complex
Multaq,Dronedarone
Elitek,rasburicase
Ambien,zolpidem tartrate
ADLYXIN,Lixisenatide
Soliqua 100/33,insulin glargine and lixisenatide
Xyzal,levocetirizine dihydrochloride
Aplenzin,bupropion hydrobromide
Jevtana,cabazitaxel
ZALTRAP,ziv-aflibercept
Leukine,SARGRAMOSTIM
Avapro,irbesartan
Avalide,irbesartan and hydrochlorothiazide
Clolar,clofarabine
Mozobil,PLERIXAFOR
TOUJEO,insulin glargine
TOUJEO Max,insulin glargine
Praluent,alirocumab
KEVZARA,sarilumab
Dupixent,Dupilumab
ADMELOG,insulin lispro
Lomotil,diphenoxylate hydrochloride and atropine sulfate
Synarel,nafarelin acetate
Aldactone,spironolactone
ALDACTAZIDE,spironolactone and hydrochlorothiazide
Daypro,oxaprozin
ARTHROTEC,diclofenac sodium and misoprostol
Cytotec,misoprostol
CELEBREX,Celecoxib
Inspra,eplerenone
Flagyl,Metronidazole
CALAN,verapamil hydrochloride
CALAN SR,verapamil hydrochloride
Flagyl,metronidazole
Norpace CR,disopyramide phosphate
Norpace,disopyramide phosphate
Kogenate FS,Antihemophilic Factor (Recombinant)
Kovaltry,Antihemophilic Factor (Recombinant)
BACTROBAN,mupirocin calcium
CHILDRENS DIMETAPP COLD AND COUGH,"brompheniramine maleate, dextromethorphan HBr, phenylephrine HCl"
CHILDRENS DIMETAPP COLD AND ALLERGY,"brompheniramine maleate, phenylephrine HCl"
CHILDRENS DIMETAPP LONG ACTING COUGH PLUS COLD,"chlorpheniramine maleate, dextromethorphan HBr"
CHILDRENS DIMETAPP NIGHTTIME COLD AND CONGESTION,"diphenhydramine HCl, phenylephrine HCl"
Childrens Dimetapp Multi-Symptom Cold and Flu,"acetaminophen, diphenhydramine hydrochloride, phenylephrine hydrochloride"
Childrens Dimetapp Multi-Symptom Cold Relief Dye-Free,"brompheniramine maleate, dextromethorphan hbr, phenylephrine hcl"
Robitussin Medi-Soothers Cough DM,dextromethorphan hydrobromide and menthol
Robitussin 12 Hour Cough Relief,dextromethorphan polistirex
Childrens Robitussin Nighttime Cough Long-Acting DM,"chlorpheniramine maleate, dextromethorphan hydrobromide"
CHILDRENS ROBITUSSIN COUGH AND COLD LONG-ACTING,"chlorpheniramine maleate, dextrometrorphan HBr"
Childrens Robitussin Cough Long-Acting,dextromethorphan hydrobromide
ROBITUSSIN TO GO COUGH AND CHEST CONGESTION DM,"dextromethorphan HBr, guaifenesin"
ROBITUSSIN TO GO COUGH AND COLD CF,"dextromethorphan HBr, guaifenesin, phenylephrine HCl"
Childrens Robitussin Cough and Chest Congestion DM,"dextromethorphan hydrobromide, guaifenesin"
Childrens Robitussin Cough and Cold CF,"dextromethorphan hydrobromide, guaifenesin, and phenylephrine hydrochloride"
Robitussin Maximum Strength Nighttime Cough DM,DEXTROMETHORPHAN HYDROBROMIDE and DOXYLAMINE SUCCINATE
Robitussin Maximum Strength Nighttime Cough DM,"dextromethorphan hydrobromide, doxylamine succinate"
Robitussin Maximum Strength Cough Plus Chest Congestion DM,dextromethorphan hydrobromide and guaifenesin
ROBITUSSIN PEAK COLD DAYTIME COLD PLUS FLU,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, and PHENYLEPHRINE HYDROCHLORIDE"
ROBITUSSIN PEAK COLD NIGHTTIME COLD PLUS FLU,"Acetaminophen, DEXTROMETHORPHAN HYDROBROMIDE, and DOXYLAMINE SUCCINATE"
Robitussin Mucus Plus Chest Congestion,Guaifenesin
Childrens Robitussin 12 Hour Cough Relief,dextromethorphan polistirex
ROBITUSSIN PEAK COLD NASAL RELIEF,"acetaminophen, phenylephrine HCl"
ROBITUSSIN PEAK COLD NIGHTTIME NASAL RELIEF,"acetaminophen, chlorpheniramine maleate, phenylephrine HCl"
ROBITUSSIN PEAK COLD MAXIMUM STRENGTH MULTI-SYMPTOM COLD,"dextromethorphan HBr, guaifenesin, phenylephrine HCl"
ROBITUSSIN PEAK COLD NIGHTTIME MULTI-SYMPTOM COLD,"acetaminophen, diphenhydramine HCl, phenylephrine HCl"
Robitussin Peak Cold Cough Plus Chest Congestion DM,dextromethorphan hydrobromide and guaifenesin
Robitussin Peak Cold Sugar-Free Cough Plus Chest Congestion DM,dextromethorphan hydrobromide and guaifenesin
ROBITUSSIN PEAK COLD MAXIMUM STRENGTH COUGH PLUS CHEST CONGESTION DM,"dextromethorphan hydrobromide, guaifenesin"
ROBITUSSIN MAXIMUM STRENGTH COUGH PLUS CHEST CONGESTION DM,"dextromethorphan hydrobromide, guaifenesin"
ROBITUSSIN LINGERING COLD LONG-ACTING COUGH,dextromethorphan HBr
ROBITUSSIN LINGERING COLD LONG-ACTING COUGHGELS,dextromethorphan hbr
Robitussin Peak Cold Multi-Symptom Cold,"dextromethorphan hydrobromide, guaifenesin, and phenylephrine hydrochloride"
Robitussin Maximum Strength Severe Cough Plus Sore Throat,"acetaminophen, dextromethorphan hydrobromide"
Robitussin Severe Multi-Symptom Cough Cold Flu,"acetaminophen, dextromethorphan hydrobromide, guaifenesin, phenylephrine hydrochloride"
Robitussin Severe Multi-Symptom Cough Cold Flu Nighttime,"acetaminophen, diphenhydramine hydrochloride, phenylephrine hydrochloride"
Robitussin Sugar-Free Dye-Free Cough Plus Chest Congestion DM,"dextromethorphan hydrobromide, guaifenesin"
Creon,Pancrelipase
Prometrium,Progesterone
sfRowasa,mesalamine
Rowasa,mesalamine
PreferaOB plus DHA,prenatal/postnatal multivitamin/multimineral
PreferaOB,"Cholecalciferol, .alpha.-tocopherol succinate, d-, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hydrochloride, folic acid, cyanocobalamin, biotin, calcium pantothenate, d-, iron sucrose, heme iron polypeptide, potassium iodide, zinc oxide, sodium selenate, cupric sulfate"
PreferaOB ONE,"ascorbic acid, cholecalciferol, .alpha.-tocopherol acetate, dl-, niacinamide, pyridoxine hydrochloride, folic acid, cyanocobalamin, biotin, calcium pantothenate, d-, iron sucrose, heme iron polypeptide, potassium iodide, zinc oxide, schizochytrium dha oil"
Butisol Sodium,Butabarbital Sodium
Astepro,Azelastine Hydrochloride
DYMISTA,Azelastine Hydrochloride and Fluticasone Propionate
Felbatol,felbamate
Gastrocrom,cromolyn sodium
Cesamet,Nabilone
Soma,Carisoprodol
Demadex,Torsemide
Depen,Penicillamine
ELESTRIN,ESTRADIOL
Edluar,Zolpidem Tartrate
Natelle One,"doconexent, icosapent, calcium, iron, ascorbic acid, pyridoxine, .alpha.-tocopherol, folic acid"
URELLE,"hyoscyamine sulfate, methenamine, methylene blue, phenyl salicylate, and sodium phosphate, monobasic, monohydrate"
AVC,sulfanilamide
COLYTE,peg-3350 and electrolytes
PROCTOFOAM,pramoxine hydrochloride hydrocortisone acetate
PROCTOFOAM,pramoxine hydrochloride
EPIFOAM,pramoxine hydrochloride and hydrocortisone acetate
Cortifoam,hydrocortisone acetate
Dipentum,olsalazine sodium
BiferaRx,"folic acid, cyanocobalamin, iron dextran and heme iron polypeptide"
Aerospan,flunisolide
MUSE,Alprostadil
Levsin,HYOSCYAMINE SULFATE
Lasix,furosemide
AMARYL,glimepiride
Oral-B NeutraCare Mint,Neutral Sodium Fluoride
Oral-B Minute-Foam Banana Splitz,Acidulated Phosphate Fluoride
Oral-B Minute-Foam Mellow Mint,Acidulated Phosphate Fluoride
Oral-B Minute-Foam Orang-A-Tangy,Acidulated Phosphate Fluoride
Oral-B Minute-Foam Bubble Gum,Acidulated Phosphate Fluoride
Oral-B Minute-Foam Strawberry,Acidulated Phosphate Fluoride
Oral-B Minute-Foam Grape Punch,Acidulated Phosphate Fluoride
Oral-B Neutra-Foam Mint,Neutral Sodium Fluoride
Oral-B,Cetylpyridinium Chloride
Oral-B,Sodium Fluoride
Gas-X,Simethicone
Premarin,CONJUGATED ESTROGENS
Premarin,conjugated estrogens
Phospholine Iodide,echothiophate iodide
Premarin,"estrogens, conjugated"
Prempro,CONJUGATED ESTROGENS and MEDROXYPROGESTERONE ACETATE
Premphase,conjugated estrogens and medroxyprogesterone acetate
UNASYN,ampicillin sodium and sulbactam sodium
Geodon,ziprasidone hydrochloride
ERAXIS,anidulafungin
Glucotrol,glipizide
Pfizerpen,penicillin G potassium
Geodon,ziprasidone mesylate
Antivert,MECLIZINE HYDROCHLORIDE
Relpax,eletriptan hydrobromide
Cardura,doxazosin mesylate
VFEND,voriconazole
VFEND,Voriconazole
Diflucan,fluconazole
VFEND,VORICONAZOLE
Zoloft,sertraline hydrochloride
Marinol,Dronabinol
Androgel,Testosterone
REMERON,MIRTAZAPINE
REMERONSOLTAB,MIRTAZAPINE
SAPHRIS,Asenapine Maleate
Desogen,desogestrel and ethinyl estradiol
IMPLANON,etonogestrel
NuvaRing,etonogestrel and ethinyl estradiol
Nexplanon,etonogestrel
Ganirelix Acetate,Ganirelix Acetate
Follistim AQ,follitropin
Pregnyl,CHORIOGONADOTROPIN ALFA
TICE BCG,BACILLUS CALMETTE-GUERIN
BCG VACCINE,BACILLUS CALMETTE-GUERIN SUBSTRAIN TICE LIVE ANTIGEN
Mononine,coagulation factor IX human
Stimate,DESMOPRESSIN ACETATE
Zemaira,alpha-1-proteinase inhibitor human
Monoclate-P,ANTIHEMOPHILIC FACTOR HUMAN
Helixate FS,"Antihemophilic Factor, Recombinant"
Fluconazole,Fluconazole
Calcitriol,Calcitriol
Flecainide Acetate,flecainide acetate
PredniSONE,PredniSONE
Lithium Carbonate,Lithium Carbonate
Mefloquine Hydrochloride,mefloquine hydrochloride
Cilostazol,Cilostazol
Clarithromycin,clarithromycin
Ipratropium Bromide,Ipratropium Bromide
Digoxin,Digoxin
Citalopram,Citalopram
Risperidone,Risperidone
Ondansetron Hydrochloride,Ondansetron Hydrochloride
Torsemide,Torsemide
Balsalazide Disodium,Balsalazide Disodium
Exemestane,Exemestane
Zaleplon,Zaleplon
Zolpidem Tartrate,zolpidem tartrate
Calcium Acetate,Calcium Acetate
Galantamine,Galantamine
Oxcarbazepine,Oxcarbazepine
Amlodipine Besylate,Amlodipine Besylate
Ramipril,Ramipril
Perindopril Erbumine,Perindopril Erbumine
Valacyclovir,Valacyclovir
Ropinirole,rOPINIRole
Losartan Potassium,Losartan Potassium
Losartan Potassium and Hydrochlorothiazide,Losartan Potassium and Hydrochlorothiazide
Galantamine Hydrobromide,Galantamine Hydrobromide
Acarbose,Acarbose
Granisetron Hydrochloride,Granisetron Hydrochloride
Mycophenolate Mofetil,Mycophenolate Mofetil
Buprenorphine HCl,Buprenorphine HCl
buprenorphine hydrochloride and naloxone hydrochloride dihydrate,buprenorphine hydrochloride and naloxone hydrochloride dihydrate
Famciclovir,Famciclovir
Protriptyline Hydrochloride,Protriptyline Hydrochloride
Quetiapine Fumarate,Quetiapine Fumarate
Levetiracetam,Levetiracetam
meloxicam,meloxicam
Morphine Sulfate,Morphine Sulfate
Codeine sulfate,codeine sulfate
Irbesartan,Irbesartan
Irbesartan and Hydrochlorothiazide,Irbesartan and Hydrochlorothiazide
Montelukast Sodium,Montelukast Sodium
Hydromorphone Hydrochloride,hydromorphone hydrochloride
Letrozole,Letrozole
Capecitabine,Capecitabine
Imipramine Pamoate,Imipramine Pamoate
Naratriptan,Naratriptan
Oxymorphone Hydrochloride,oxymorphone hydrochloride
eszopiclone,eszopiclone
Azelastine Hydrochloride,Azelastine Hydrochloride
Alosetron Hydrochloride,alosetron hydrochloride
Linezolid,linezolid
Temozolomide,Temozolomide
Cevimeline Hydrochloride,Cevimeline Hydrochloride
Doxercalciferol,Doxercalciferol
Tinidazole,Tinidazole
Phenoxybenzamine Hydrochloride,Phenoxybenzamine Hydrochloride
Disulfiram,Disulfiram
Sodium Polystyrene Sulfonate,Sodium Polystyrene Sulfonate
Cyclophosphamide,Cyclophosphamide
Methamphetamine Hydrochloride,Methamphetamine Hydrochloride
oxycodone hydrochloride,oxycodone hydrochloride
Methadone Hydrochloride,Methadone Hydrochloride
Oxycodone Hydrochloride,Oxycodone Hydrochloride
Dutasteride,Dutasteride
Desvenlafaxine,Desvenlafaxine
Ritonavir,Ritonavir
Ethacrynic Acid,Ethacrynic Acid
flucytosine,flucytosine
Dipyridamole,Dipyridamole
Nevirapine,Nevirapine
Telmisartan,telmisartan
telmisartan and hydrochlorothiazide,telmisartan and hydrochlorothiazide
Lidocaine Viscous,Lidocaine Hydrochloride
Oxycodone and Acetaminophen,Oxycodone and Acetaminophen
aspirin and dipyridamole,aspirin and dipyridamole
Alprazolam,Alprazolam
Butorphanol Tartrate,Butorphanol Tartrate
Calcium Carbonate,Calcium Carbonate
Dexamethasone Intensol,Dexamethasone Intensol
Dexamethasone,Dexamethasone
Diazepam Intensol,Diazepam Intensol
Diazepam,Diazepam
Diphenoxylate Hydrochloride and Atropine Sulfate,Diphenoxylate Hydrochloride and Atropine Sulfate
Fluticasone Propionate,Fluticasone Propionate
Furosemide,Furosemide
Lactulose,Lactulose
Lidocaine Hydrochloride,Lidocaine Hydrochloride
Lithium,Lithium
Lorazepam,Lorazepam
Megestrol Acetate,Megestrol Acetate
Meperidine Hydrochloride,Meperidine Hydrochloride
Midazolam Hydrochloride,Midazolam Hydrochloride
Milk of Magnesia,Milk of Magnesia
Roxicet,Oxycodone and Acetaminophen
PredniSONE Intensol,PredniSONE Intensol
Propranolol Hydrochloride,Propranolol Hydrochloride
Clotrimazole,Clotrimazole
DOLOPHINE,METHADONE HYDROCHLORIDE
Leucovorin Calcium,Leucovorin Calcium
DISKETS,Methadone Hydrochloride
Methotrexate Sodium,Methotrexate Sodium
METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
Mercaptopurine,Mercaptopurine
Propantheline Bromide,Propantheline Bromide
COUMADIN,warfarin sodium
SUSTIVA,Efavirenz
SUSTIVA,efavirenz
TRISEPTIN,ALCOHOL
SURGICEPT,ethyl alcohol
NEVANAC,nepafenac
MOXEZA,moxifloxacin hydrochloride
MIOSTAT,carbachol
Naphcon A,naphazoline hydrochloride and pheniramine maleate
FLUORESCITE,fluorescein sodium
Flarex,fluorometholone acetate
Betoptic S,betaxolol hydrochloride
Travatan Z,travoprost
Patanol,olopatadine hydrochloride
PATADAY,olopatadine hydrochloride
Azopt,brinzolamide
Isopto Atropine,atropine sulfate
EMADINE,EMEDASTINE DIFUMARATE
PATANASE,olopatadine hydrochloride
ALOMIDE,lodoxamide tromethamine
Mydriacyl,tropicamide
Cyclomydril,cyclopentolate hydrochloride and phenylephrine hydrochloride
Cyclogyl,cyclopentolate hydrochloride
Betadine,povidone-iodine
Tears Naturale Free,"dextran 70, hypromellose 2910"
GenTeal Tears (Mild),dextran 70 and hypromellose 2910
BION TEARS,"Dextran, Hypromellose"
TEARS Naturale FORTE,"Dextran 70, Glycerin, Hypromellose"
GenTeal Tears (Moderate),"Dextran 70, Glycerin, Hypromellose"
Systane Lubricant,polyethylene glycol 400 and Propylene Glycol
Systane,polyethylene glycol and propylene glycol
Systane,polyethylene glycol 400 and propylene glycol
Systane,hypromellose
Systane COMPLETE,propylene glycol
Systane Nighttime,mineral oil and white petrolatum
Eye Stream,purified water
TRIESENCE,triamcinolone acetonide
Vexol,rimexolone
MAXITROL,"neomycin sulfate, polymyxin b sulfate and dexamethasone"
OMNIPRED,prednisolone acetate
Tobrex,tobramycin
TOBREX,tobramycin
NATACYN,natamycin
TobraDex,tobramycin and dexamethasone
TOBRADEX ST,tobramycin / dexamethasone
CILOXAN,ciprofloxacin hydrochloride
Ciloxan,ciprofloxacin hydrochloride
IOPIDINE,apraclonidine hydrochloride
Iopidine,apraclonidine
Tetracaine Hydrochloride,tetracaine hydrochloride
BSS,balanced salt solution
BSS PLUS,"balanced salt solution enriched with bicarbonate, dextrose, and glutathione"
Systane Sport,polyethylene glycol 400 and propylene glycol
Systane Ultra,Polyethylene Glycol 400 and Propylene Glycol
Systane Balance,propylene glycol
OPTI-FREE,propylene glycol
Systane Day and Night Value Pack,"Polyethylene Glycol 400, Propylene Glycol 0.3%"
ILEVRO,nepafenac
VIGAMOX,moxifloxacin hydrochloride
SIMBRINZA,brinzolamide/brimonidine tartrate
Pazeo,olopatadine hydrochloride
Tears Naturale II Polyquad,"Dextran 70, Hypromellose 2910"
GenTeal Tears Moderate Preservative Free,"dextran 70, hypromellose 2910"
CIPRO,ciprofloxacin hydrochloride and hydrocortisone
CIPRODEX,ciprofloxacin and dexamethasone
DUREZOL,DUREZOL
EX-LAX,SENNOSIDES
Desenex,MICONAZOLE NITRATE
